Distance	Si	Ti	Al	Mg	Fe	Mn	Ca	SumCat	Xalm	Xsps	Xprp	Xgrs	XMg	ratio_CaFe
1820	3.00375479	0.00328302	1.97813189	0.28355449	2.54501496	0.10778092	0.07112096	8.01515149	0.84597668	0.03589888	0.09444889	0.02367555	0.10045044	0.02802106
1830	3.01431412	0.00347456	1.969305	0.28468542	2.5360447	0.10843109	0.07039245	8.00847028	0.84536159	0.03619575	0.0949333	0.02350936	0.1009722	0.02785093
1840	3.01245539	0.00370083	1.95881979	0.28384978	2.5541482	0.1089271	0.0701606	8.0168061	0.84613621	0.03620873	0.09432697	0.02332809	0.10030852	0.02760846
1850	3.0127819	0.00349523	1.96921728	0.2889144	2.52957146	0.11142683	0.07182462	8.01126559	0.84242554	0.0371812	0.09644308	0.02395018	0.10274161	0.02848536
1860	3.01159514	0.00348713	1.96898403	0.28208675	2.53768185	0.1114159	0.07481428	8.01078635	0.84381924	0.03714586	0.0940328	0.0250021	0.10028753	0.02969028
1870	3.00265853	0.00342803	1.96212917	0.27645519	2.57209659	0.11154352	0.07346911	8.02391759	0.8470946	0.03698403	0.09150455	0.02441682	0.09754231	0.02890555
1880	3.01474761	0.00364116	1.96586114	0.28186179	2.53364762	0.11190386	0.07640291	8.00929522	0.84349456	0.03726167	0.09380504	0.02543874	0.10008436	0.03019871
1890	2.99892141	0.00341473	1.96501432	0.28258091	2.56214605	0.11317522	0.07712634	8.02805936	0.84388997	0.03737135	0.09330336	0.02543532	0.09958571	0.03018758
1900	3.00882812	0.00341253	1.96757153	0.27613032	2.54847377	0.11306371	0.07615023	8.01431694	0.84529823	0.03759717	0.09176844	0.02533616	0.09794601	0.03001961
1910	2.98689486	0.0036865	1.97890915	0.27909464	2.56542141	0.11341484	0.08157279	8.03093394	0.84356689	0.03742554	0.09208491	0.02692266	0.0984651	0.03198606
1920	2.99315035	0.00346594	1.9738318	0.27921582	2.55527315	0.11565706	0.08365838	8.02868315	0.84198242	0.03822607	0.09215599	0.02763552	0.09866893	0.03286872
1930	2.98896969	0.00344673	1.96766972	0.27588808	2.57866012	0.1152454	0.08339406	8.03422365	0.84397377	0.03791265	0.0906791	0.02743448	0.09705871	0.03257766
1940	2.97849974	0.0034955	1.97935758	0.28238403	2.57407187	0.11565389	0.08427525	8.03891407	0.84150779	0.03800493	0.09279151	0.02769577	0.0993649	0.03299585
1950	2.99441697	0.00346055	1.9606819	0.27773596	2.5661967	0.11559715	0.09085595	8.03474295	0.84051819	0.03804693	0.09151212	0.02992276	0.09824663	0.03569798
1960	3.00467815	0.00333411	1.96685831	0.27677607	2.53916224	0.11672754	0.09117722	8.01840351	0.8393576	0.03869596	0.0917197	0.03022675	0.09853335	0.03605954
1970	3.00226835	0.00328975	1.96978365	0.27353258	2.53669646	0.11572845	0.09671619	8.02108473	0.83868527	0.03841137	0.0908201	0.03208327	0.09774371	0.03832478
1980	3.00575482	0.00442498	1.95879047	0.27464809	2.53532716	0.11744128	0.10386916	8.02059398	0.83589647	0.0388533	0.09090227	0.03434796	0.09811767	0.04115498
1990	2.99000421	0.00326419	1.96835854	0.27323708	2.55415294	0.11708358	0.10570934	8.03329476	0.83654454	0.03858058	0.09008942	0.03478546	0.09729195	0.04167961
2000	2.9792486	0.00379259	1.98210716	0.27378281	2.55964447	0.11366205	0.10608125	8.04065749	0.83909266	0.03763858	0.09049089	0.03509814	0.09783477	0.04212636
2010	2.97096738	0.00401316	1.98000028	0.27577934	2.56648989	0.11618529	0.11121805	8.04679309	0.83514854	0.03826047	0.09042473	0.03662993	0.09766916	0.0440151
2020	2.95068107	0.00368814	1.99719627	0.28645347	2.57677914	0.10982677	0.10922684	8.06156211	0.83569398	0.03603566	0.09284501	0.03586817	0.09978166	0.04312381
